2018-07-02 at 10:05:37 CST INFO  org.springframework.context.support.AbstractApplicationContext 590 prepareRefresh - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@15d49048: startup date [Mon Jul 02 10:05:37 CST 2018]; root of context hierarchy
2018-07-02 at 10:05:38 CST INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor 154 <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-07-02 at 10:05:38 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 328 postProcessAfterInitialization - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$2aaa2701] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-07-02 at 10:05:48 CST INFO  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator 83 locate - Fetching config from server at: http://localhost:8888
2018-07-02 at 10:05:48 CST WARN  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator 134 locate - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/eureka-client3/default": Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)
2018-07-02 at 10:05:48 CST INFO  org.springframework.boot.SpringApplication 659 logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-02 at 10:05:48 CST INFO  org.springframework.context.support.AbstractApplicationContext 590 prepareRefresh - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1021f6c9: startup date [Mon Jul 02 10:05:48 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@15d49048
2018-07-02 at 10:05:49 CST INFO  org.springframework.cloud.context.scope.GenericScope 293 setSerializationId - BeanFactory id=1457941a-1d2b-3467-82c5-396b983d4799
2018-07-02 at 10:05:49 CST INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor 154 <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-07-02 at 10:05:49 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 328 postProcessAfterInitialization - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$2aaa2701] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-07-02 at 10:05:49 CST INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 91 initialize - Tomcat initialized with port(s): 9003 (http)
2018-07-02 at 10:05:49 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Initializing ProtocolHandler ["http-nio-9003"]
2018-07-02 at 10:05:49 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Starting service [Tomcat]
2018-07-02 at 10:05:49 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Starting Servlet Engine: Apache Tomcat/8.5.31
2018-07-02 at 10:05:49 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/myu/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018-07-02 at 10:05:49 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Initializing Spring embedded WebApplicationContext
2018-07-02 at 10:05:49 CST INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 285 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1395 ms
2018-07-02 at 10:05:50 CST INFO  org.springframework.boot.web.servlet.ServletRegistrationBean 185 addRegistration - Servlet dispatcherServlet mapped to [/]
2018-07-02 at 10:05:50 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-07-02 at 10:05:50 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-07-02 at 10:05:50 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-07-02 at 10:05:50 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'requestContextFilter' to: [/*]
2018-07-02 at 10:05:50 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'httpTraceFilter' to: [/*]
2018-07-02 at 10:05:50 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'webMvcMetricsFilter' to: [/*]
2018-07-02 at 10:05:50 CST WARN  com.netflix.config.sources.URLConfigurationSource 121 <init> - No URLs will be polled as dynamic configuration sources.
